gene_id,H2Aub,H3K27,misregulated
AT2G02230,1.376239135345796,NA,NA
AT2G36230,1.1543540164566437,NA,NA
AT2G36240,1.1543540164566437,NA,NA
AT4G33550,-1.137886337868577,NA,NA
AT4G33560,-1.137886337868577,NA,NA
AT2G09430,1.3485832594377911,NA,NA
AT2G43235,1.3485832594377911,NA,NA
AT1G48420,1.5914334837547373,3.3199202386353366,-1.84127917100469
AT2G25580,1.2041045340785672,NA,NA
AT1G04143,1.1342746802130743,NA,NA
AT5G20635,-1.0862548862198242,NA,NA
AT5G03160,1.3756308476877863,NA,NA
AT5G00395,-1.3726942235824668,NA,NA
AT5G14820,-1.3726942235824668,NA,NA
AT3G54625,1.2200497151676395,NA,NA
AT3G54630,1.2200497151676395,NA,NA
AT3G54640,1.2200497151676395,NA,NA
AT4G05710,-1.3847535853611892,NA,NA
AT5G67330,1.300996085923691,NA,NA
AT3G09075,0.8793279609713828,2.911201767409967,NA
AT3G58090,0.8793279609713828,2.911201767409967,-2.36902618864688
AT3G58100,0.8793279609713828,2.911201767409967,-3.34835106048302
AT3G58110,0.8793279609713828,NA,NA
AT1G17410,1.984286141792998,NA,NA
AT2G25570,1.0886054902636164,NA,NA
AT3G49170,1.4102577787133048,NA,NA
AT3G49180,1.4102577787133048,NA,NA
AT2G30120,1.9983290732574504,NA,NA
AT2G01810,-0.9594860502214284,-0.5332216412167624,NA
AT2G02180,1.5596168805712676,NA,-1.02844947722789
AT1G09140,1.4250155265845466,NA,NA
AT1G09150,1.4250155265845466,NA,NA
AT3G56320,1.1638093897185209,NA,NA
AT3G56330,1.1638093897185209,2.3125526380809354,-1.84759392594226
AT3G22410,-1.0848516006344238,NA,NA
AT5G60940,1.3258459753527323,NA,NA
AT1G23000,-0.9832340842396966,NA,NA
AT1G23010,-0.9832340842396966,NA,NA
AT2G02810,1.706909477407786,NA,NA
AT5G60780,-1.149955627159273,-0.7945659736964673,NA
AT1G77130,1.229002425727162,NA,NA
AT5G57840,0.9737594250361972,2.6851479455825333,NA
AT5G57850,0.9737594250361972,2.6851479455825333,-5.71849265864398
AT5G57860,0.9737594250361972,NA,NA
