ubp5_targets,cat
AT1G14990,Hypo-marked
AT1G15000,Hypo-marked
AT1G15002,Hypo-marked
AT1G15100,De-novo marked
AT1G15130,Unchanged
AT1G15165,Unchanged
AT1G15230,De-novo marked
AT1G15240,Unchanged
AT1G15270,De-novo marked
AT1G15280,De-novo marked
AT1G15300,Unchanged
AT1G15310,Hypo-marked
AT1G15340,Unchanged
AT1G15350,Unchanged
AT1G15370,Unchanged
AT1G15390,De-novo marked
AT1G15400,Unchanged
AT1G15430,Unchanged
AT1G15470,Unchanged
AT1G15480,De-novo marked
AT1G15490,De-novo marked
AT1G15500,Hyper-marked
AT1G15510,Hyper-marked
AT1G15530,Unchanged
AT1G15650,Hyper-marked
AT1G15660,Hyper-marked
AT1G15700,De-novo marked
AT1G15710,De-novo marked
AT1G15720,Unchanged
AT1G15730,De-novo marked
AT1G15780,De-novo marked
AT1G15810,Hypo-marked
AT1G15825,Hypo-marked
AT1G15830,Hypo-marked
AT1G15860,Unchanged
AT1G15870,Unchanged
AT1G15910,Unchanged
AT1G15920,De-novo marked
AT1G15940,Hyper-marked
AT1G16020,De-novo marked
AT1G16030,Hyper-marked
AT1G16040,Hyper-marked
AT1G16060,Unchanged
AT1G16070,Unchanged
AT1G16170,De-novo marked
AT1G16180,Unchanged
AT1G16210,De-novo marked
AT1G16270,Unchanged
AT1G16280,Hyper-marked
AT1G16290,Hyper-marked
AT1G16300,Unchanged
AT1G16330,De-novo marked
AT1G16340,Hyper-marked
AT1G16350,Hyper-marked
AT1G16430,Hyper-marked
AT1G16445,Hyper-marked
AT1G16470,De-novo marked
AT1G16480,Hyper-marked
AT1G16489,Hyper-marked
AT1G16490,Hyper-marked
AT1G16520,Hyper-marked
AT1G16540,De-novo marked
AT1G16610,De-novo marked
AT1G16635,Unchanged
AT1G16650,Unchanged
AT1G16670,De-novo marked
AT1G16680,De-novo marked
AT1G16690,Unchanged
AT1G16710,Unchanged
AT1G16720,Hypo-marked
AT1G16770,Hypo-marked
AT1G16780,De-novo marked
AT1G16790,De-novo marked
AT1G16800,De-novo marked
AT1G16810,Unchanged
AT1G16825,Hyper-marked
AT1G16830,Hyper-marked
AT1G16860,Unchanged
AT1G16870,Hyper-marked
AT1G16880,Hyper-marked
AT1G16890,De-novo marked
AT1G16900,Hypo-marked
AT1G16916,Hypo-marked
AT1G16920,De-novo marked
AT1G16930,De-novo marked
AT1G16970,De-novo marked
AT1G17040,Hypo-marked
AT1G17050,Hyper-marked
AT1G17080,Unchanged
AT1G17110,Unchanged
AT1G17120,De-novo marked
AT1G17130,De-novo marked
AT1G17145,De-novo marked
AT1G17160,Unchanged
AT1G17210,De-novo marked
AT1G17220,De-novo marked
AT1G17235,De-novo marked
AT1G17270,De-novo marked
AT1G17280,Hypo-marked
AT1G17330,Unchanged
AT1G17340,Hyper-marked
AT1G17360,De-novo marked
AT1G17370,Unchanged
AT1G17410,De-novo marked
AT1G17430,Hypo-marked
AT1G17440,De-novo marked
AT1G17450,Hyper-marked
AT1G17455,Hyper-marked
AT1G17480,De-novo marked
AT1G17490,De-novo marked
AT1G17520,Hyper-marked
AT1G17550,Unchanged
AT1G17580,De-novo marked
AT1G17665,Hyper-marked
AT1G17730,De-novo marked
AT1G17760,De-novo marked
AT1G17790,De-novo marked
AT1G17880,Unchanged
AT1G17920,Hyper-marked
AT1G17930,Unchanged
AT1G17940,Unchanged
AT1G18040,Hyper-marked
AT1G18070,Unchanged
AT1G18090,De-novo marked
AT1G18140,Hyper-marked
AT1G18160,Hyper-marked
AT1G18170,Hyper-marked
AT1G18180,Hyper-marked
AT1G18190,Hyper-marked
AT1G18210,Unchanged
AT1G18265,Hyper-marked
AT1G18270,Hypo-marked
AT1G18300,Unchanged
AT1G18320,Unchanged
AT1G18330,De-novo marked
AT1G18335,De-novo marked
AT1G18340,De-novo marked
AT1G18360,Unchanged
AT1G18370,Unchanged
AT1G18382,Hypo-marked
AT1G18390,Hypo-marked
